Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NEUROACTIVE LIGAND-RECEPTOR INTERACTION	26/366	2.324758381386089E-28	4.3240505893781257E-26	0	0	37.459117647058825	2383.4774497677563	HTR2C;ADRA1D;HTR2A;ADRB2;ADRA1B;NTS;ADRA1A;GRM3;MC4R;HTR6;HTR7;GRM7;HRH3;HRH4;GNRHR;DRD2;DRD3;GRID2;HTR1E;HTR1F;HTR1D;HTR1A;HTR1B;GRIN2B;LEP;GHRL
NEUROACTIVE LIGAND SIGNALING	21/195	1.1867772459433047E-26	1.1037028387272735E-24	0	0	52.99616858237548	3163.6577418086463	HTR1E;HTR1F;HTR1D;HTR1A;HTR2C;HTR1B;ADRA1D;HTR2A;ADRB2;ADRA1B;ADRA1A;GRIN2B;SLC6A4;GRM3;MC4R;HTR6;HTR7;GRM7;HRH3;DRD2;DRD3
STEROID HORMONE BIOSYNTHESIS	14/63	1.3715001917188513E-22	8.503301188656877E-21	0	0	109.25824175824175	5500.165529138058	UGT1A10;UGT1A1;COMT;CYP3A4;UGT1A5;CYP1A1;CYP1B1;UGT1A4;UGT1A3;CYP2E1;UGT1A9;UGT1A8;UGT1A7;UGT1A6
CHEMICAL CARCINOGENESIS - DNA ADDUCTS	14/69	5.589483751102401E-22	2.5991099442626164E-20	0	0	97.30979020979021	4761.950445268024	UGT1A10;UGT1A1;CYP2C19;CYP3A4;UGT1A5;CYP1A1;CYP1B1;UGT1A4;UGT1A3;CYP2E1;UGT1A9;UGT1A8;UGT1A7;UGT1A6
METABOLISM OF XENOBIOTICS BY CYTOCHROME P450	13/76	2.038228495050104E-19	7.582210001586388E-18	0	0	77.3653788559449	3329.576573397769	UGT1A10;UGT1A1;CYP3A4;UGT1A5;CYP1A1;CYP1B1;UGT1A4;UGT1A3;CYP2E1;UGT1A9;UGT1A8;UGT1A7;UGT1A6
DRUG METABOLISM - CYTOCHROME P450	12/69	4.412238777764389E-18	1.3677940211069604E-16	0	0	77.49317738791423	3096.7939364328295	UGT1A10;UGT1A1;UGT1A5;UGT1A4;UGT1A3;CYP2E1;CYP2C19;CYP3A4;UGT1A9;UGT1A8;UGT1A7;UGT1A6
RETINOL METABOLISM	11/66	1.9608988407858265E-16	5.210388348373768E-15	0	0	72.28727272727272	2614.483082069401	UGT1A10;UGT1A1;UGT1A5;CYP1A1;UGT1A4;UGT1A3;CYP3A4;UGT1A9;UGT1A8;UGT1A7;UGT1A6
ASCORBATE AND ALDARATE METABOLISM	9/31	5.004056385799535E-16	1.1634431096983919E-14	0	0	142.9090909090909	5034.84627727154	UGT1A10;UGT1A1;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6
DRUG METABOLISM - OTHER ENZYMES	11/81	2.1311959033354727E-15	3.9010299358190996E-14	0	0	56.754285714285714	1917.278564719715	UGT1A10;UGT1A1;UGT1A5;UGT1A4;UGT1A3;CYP2E1;CYP3A4;UGT1A9;UGT1A8;UGT1A7;UGT1A6
CHEMICAL CARCINOGENESIS - RECEPTOR ACTIVATION	14/195	2.1745297570347936E-15	3.9010299358190996E-14	0	0	29.38185295367616	991.989060423864	UGT1A10;UGT1A1;ADRB2;CYP3A4;UGT1A5;CYP1A1;AKT1;CYP1B1;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6
PENTOSE AND GLUCURONATE INTERCONVERSIONS	9/36	2.3070607147317253E-15	3.9010299358190996E-14	0	0	116.41520467836257	3923.518604525754	UGT1A10;UGT1A1;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6
BILE SECRETION	11/88	5.527423373163741E-15	8.567506228403799E-14	0	0	51.576623376623374	1693.2117861575528	UGT1A10;ABCB1;UGT1A1;UGT1A5;UGT1A4;UGT1A3;CYP3A4;UGT1A9;UGT1A8;UGT1A7;UGT1A6
PORPHYRIN METABOLISM	9/46	2.6315178258228053E-14	3.765094735408014E-13	0	0	84.90896159317212	2654.9869463749183	UGT1A10;UGT1A1;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6
SEROTONERGIC SYNAPSE	11/111	7.711134096209144E-14	1.0244792442106435E-12	0	0	39.668	1197.716790596444	HTR6;HTR7;HTR1E;HTR1F;HTR1D;HTR1A;HTR2C;HTR1B;HTR2A;CYP2C19;SLC6A4
CAMP SIGNALING PATHWAY	11/222	1.5461211938080173E-10	1.9171902803219417E-9	0	0	18.69478672985782	422.31713144942825	HTR6;HTR1E;HTR1F;HTR1D;HTR1A;AKT1;HTR1B;GHRL;ADRB2;DRD2;GRIN2B
HORMONE SIGNALING	10/218	2.3850785177178242E-9	2.7726537768469707E-8	0	0	16.935096153846153	336.22997130369345	MC4R;LEP;GNRHR;ADRA1D;GHRL;ADRB2;ADRA1B;DRD2;ADRA1A;DRD3
