Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MAPK SIGNALING PATHWAY	24/296	9.178425534553702E-41	4.31386000124024E-39	0	0	434.55882352941177	40061.60123657286	CACNA2D1;CACNA1B;CACNA2D3;CACNA1A;CACNA2D2;CACNA1D;CACNA1C;CACNA2D4;CACNA1F;CACNA1E;CACNA1H;CACNA1G;CACNG6;CACNB1;CACNG7;CACNB2;CACNB3;CACNB4;CACNA1S;CACNG1;CACNG2;CACNG3;CACNG4;CACNG5
CARDIAC MUSCLE CONTRACTION	19/83	4.0040286952089245E-40	9.409467433740973E-39	0	0	656.6875	59572.13068635504	CACNA2D1;CACNA2D3;CACNA2D2;CACNA1D;CACNA1C;CACNA2D4;CACNA1F;CACNG6;CACNB1;CACNG7;CACNB2;CACNB3;CACNB4;CACNA1S;CACNG1;CACNG2;CACNG3;CACNG4;CACNG5
ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY	19/86	8.543400474480542E-40	1.338466074335285E-38	0	0	627.1890547263681	56420.82640128209	CACNA2D1;CACNA2D3;CACNA2D2;CACNA1D;CACNA1C;CACNA2D4;CACNA1F;CACNG6;CACNB1;CACNG7;CACNB2;CACNB3;CACNB4;CACNA1S;CACNG1;CACNG2;CACNG3;CACNG4;CACNG5
HYPERTROPHIC CARDIOMYOPATHY	19/98	1.3485660138387215E-38	1.5845650662604978E-37	0	0	531.5991561181435	46355.01673138884	CACNA2D1;CACNA2D3;CACNA2D2;CACNA1D;CACNA1C;CACNA2D4;CACNA1F;CACNG6;CACNB1;CACNG7;CACNB2;CACNB3;CACNB4;CACNA1S;CACNG1;CACNG2;CACNG3;CACNG4;CACNG5
DILATED CARDIOMYOPATHY	19/103	3.8161404741714525E-38	3.5871720457211654E-37	0	0	499.83068783068785	43064.90921831308	CACNA2D1;CACNA2D3;CACNA2D2;CACNA1D;CACNA1C;CACNA2D4;CACNA1F;CACNG6;CACNB1;CACNG7;CACNB2;CACNB3;CACNB4;CACNA1S;CACNG1;CACNG2;CACNG3;CACNG4;CACNG5
ADRENERGIC SIGNALING IN CARDIOMYOCYTES	19/148	6.441092806613146E-35	5.045522698513631E-34	0	0	324.7347114556417	25565.642934379055	CACNA2D1;CACNA2D3;CACNA2D2;CACNA1D;CACNA1C;CACNA2D4;CACNA1F;CACNG6;CACNB1;CACNG7;CACNB2;CACNB3;CACNB4;CACNA1S;CACNG1;CACNG2;CACNG3;CACNG4;CACNG5
OXYTOCIN SIGNALING PATHWAY	19/152	1.10328272118727E-34	7.407755413685955E-34	0	0	314.9047619047619	24622.278358391915	CACNA2D1;CACNA2D3;CACNA2D2;CACNA1D;CACNA1C;CACNA2D4;CACNA1F;CACNG6;CACNB1;CACNG7;CACNB2;CACNB3;CACNB4;CACNA1S;CACNG1;CACNG2;CACNG3;CACNG4;CACNG5
CALCIUM SIGNALING PATHWAY	9/250	3.621687242662681E-11	2.1277412550643252E-10	0	0	38.781174929023805	932.3574625732268	CACNA1B;CACNA1A;CACNA1D;CACNA1C;CACNA1S;CACNA1F;CACNA1E;CACNA1H;CACNA1G
TYPE II DIABETES MELLITUS	6/47	4.380243747255742E-11	2.2874606235668876E-10	0	0	132.57871396895789	3162.178876608897	CACNA1B;CACNA1A;CACNA1D;CACNA1C;CACNA1E;CACNA1G
CORTISOL SYNTHESIS AND SECRETION	6/63	2.730272155378761E-10	1.2832279130280176E-9	0	0	95.28708133971291	2098.3596625979208	CACNA1D;CACNA1C;CACNA1S;CACNA1F;CACNA1H;CACNA1G
GNRH SECRETION	6/64	3.009874921483188E-10	1.2860374664519075E-9	0	0	93.63949843260188	2052.9479069924973	CACNA1D;CACNA1C;CACNA1S;CACNA1F;CACNA1H;CACNA1G
INSULIN SECRETION	6/81	1.282151323789478E-9	5.021759351508789E-9	0	0	72.35272727272728	1481.4022986857162	GLP1R;GPR119;CACNA1D;CACNA1C;CACNA1S;CACNA1F
GABAERGIC SYNAPSE	6/86	1.8486819532992193E-9	6.683696292697178E-9	0	0	67.81363636363636	1363.6503700731696	CACNA1B;CACNA1A;CACNA1D;CACNA1C;CACNA1S;CACNA1F
ALDOSTERONE SYNTHESIS AND SECRETION	6/92	2.7879949340016767E-9	9.3596972784342E-9	0	0	63.063424947145876	1242.219760154585	CACNA1D;CACNA1C;CACNA1S;CACNA1F;CACNA1H;CACNA1G
CHOLINERGIC SYNAPSE	6/111	8.695389831594779E-9	2.5542707630309663E-8	0	0	51.602597402597404	957.7686083977057	CACNA1B;CACNA1A;CACNA1D;CACNA1C;CACNA1S;CACNA1F
