Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PATHWAYS IN CANCER	36/525	1.3819321343925708E-25	3.0955279810393584E-23	0	0	13.581069237510956	777.3959495071933	NOTCH1;CXCL8;GSTP1;PTEN;GSTT1;BRCA2;EGFR;CASP7;EDNRB;RXRA;CASP3;ERBB2;E2F1;AKT1;JAK2;HRAS;PDGFRA;SMAD4;GSTM1;CDKN2A;MMP2;IGF2;FOS;ESR1;ESR2;VEGFA;PIK3CA;FASN;IL2RA;CDK2;BCL2;BIRC5;BAX;TP53;FGFR1;PPARD
MICRORNAS IN CANCER	23/160	8.149305427701192E-24	7.987086392784857E-22	0	0	28.05926017567735	1491.7455813618544	PDGFRA;ABCC1;ABCB1;NOTCH1;CDKN2A;PTEN;BRCA1;EGFR;VEGFA;PIK3CA;ERBB3;CASP3;STMN1;ERBB2;BCL2;E2F1;PDCD4;CYP1B1;MDM4;ATM;TP53;HRAS;MCL1
GAP JUNCTION	19/85	1.0696990704622576E-23	7.987086392784857E-22	0	0	46.70479384003974	2470.313681545734	PDGFRA;SRC;TUBB;TUBB4B;TUBB4A;TUBA4A;EGFR;TUBB8;TUBA1C;TUBA3E;TUBB6;TUBA1B;TUBB2B;TUBA3D;TUBA1A;TUBB2A;TUBA3C;TUBB3;HRAS
APOPTOSIS	21/136	1.723748088463935E-22	9.652989295398037E-21	0	0	30.045217391304348	1505.6370808294478	FOS;TUBA4A;TUBA1C;TUBA3E;CASP7;TUBA1B;TUBA3D;TUBA1A;TUBA3C;PIK3CA;DDIT3;FASN;CASP3;BCL2;AKT1;BIRC5;BAX;ATM;TP53;HRAS;MCL1
SALMONELLA INFECTION	25/244	4.30927732575816E-22	1.9305562419396556E-20	0	0	19.32766493465596	950.8457722546939	CXCL8;PIK3CG;TUBB8;TUBA1C;TUBA3E;TUBB6;CASP7;TUBA1B;TUBA3D;TUBA1A;TUBA3C;TUBB3;CASP3;AKT1;HRAS;TUBB;FOS;TUBB4B;TUBB4A;TUBA4A;TUBB2B;TUBB2A;PIK3CA;BCL2;BAX
CHEMICAL CARCINOGENESIS - RECEPTOR ACTIVATION	23/195	8.61722673962059E-22	3.2170979827916874E-20	0	0	22.30986401261332	1082.0977601092266	GSTM1;SRC;NR1I3;EPHX1;GSTT1;FOS;CYP3A4;ESR1;ESR2;EGFR;VEGFA;RXRA;PIK3CA;EIF4EBP1;BCL2;CYP1A1;E2F1;CYP1B1;AKT1;BIRC5;PGR;JAK2;HRAS
PATHOGENIC ESCHERICHIA COLI INFECTION	22/198	2.664881287234508E-20	8.527620119150425E-19	0	0	20.675420168067227	931.8730756756547	CXCL8;SRC;TUBB;FOS;TUBB4B;TUBB4A;TUBA4A;TUBB8;TUBA1C;TUBA3E;TUBB6;CASP7;TUBA1B;TUBB2B;TUBA3D;TUBA1A;TUBB2A;TUBA3C;TUBB3;FASN;CASP3;BAX
PI3K-AKT SIGNALING PATHWAY	25/355	4.070932821096053E-18	1.1398611899068949E-16	0	0	12.754049111807733	510.70604591108736	PTEN;BRCA1;PIK3CG;EGFR;STK11;RXRA;ERBB3;MYB;ERBB2;EIF4EBP1;AKT1;JAK2;HRAS;MCL1;PDGFRA;SYK;BDNF;IGF2;VEGFA;PIK3CA;IL2RA;CDK2;BCL2;TP53;FGFR1
BREAST CANCER	17/146	3.0057696366252E-16	7.481026651156053E-15	0	0	20.968367091772944	749.4267981878617	NOTCH1;PTEN;BRCA1;FOS;BRCA2;ESR1;ESR2;EGFR;PIK3CA;ERBB2;E2F1;AKT1;BAX;PGR;TP53;HRAS;FGFR1
HEPATITIS B	17/161	1.59301636060312E-15	3.568356647750988E-14	0	0	18.769881272401435	639.5489255263062	SMAD4;CXCL8;MAP3K1;SRC;FOS;PIK3CA;FASN;CASP3;CDK2;BCL2;E2F1;AKT1;BIRC5;BAX;JAK2;TP53;HRAS
